ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.4	0.98	2.87	0.3	4.18	1.2	85.018
0.54	0.88	2.15	0.26	3.43	1.4	244.509
0.28	0.9	1.81	0.31	3.14	1.23	83.877
0.35	0.97	1.84	0.36	3.71	1.43	364.421
0.39	0.88	3.32	0.45	3.01	1.36	186.716
0.42	0.92	3.0	0.05	5.69	1.48	358.132
0.37	0.85	2.71	0.37	4.97	1.22	82.812
0.4	0.85	2.12	0.32	3.32	1.23	81.48
0.45	0.97	3.28	0.26	4.22	1.45	364.814
0.38	0.99	3.08	0.06	3.62	1.32	148.737
0.18	0.91	2.59	0.3	4.99	1.49	251.844
0.48	0.9	2.42	0.22	5.65	1.28	90.759
0.34	0.97	3.43	0.25	4.78	1.35	208.483
0.51	0.85	1.95	0.21	4.41	1.41	294.312
0.19	0.85	3.11	0.57	4.51	1.3	83.975
0.19	0.99	3.56	0.16	4.95	1.21	83.795
0.41	0.85	2.07	0.45	5.18	1.21	87.838
0.27	0.9	2.4	0.25	3.47	1.24	82.695
0.43	0.96	2.67	0.38	3.84	1.41	394.724
0.55	0.94	2.31	0.11	3.68	1.31	91.441
0.62	0.92	2.56	0.36	5.17	1.43	349.443
0.29	0.89	2.47	0.56	4.14	1.3	82.091
0.36	0.96	2.24	0.45	3.54	1.48	329.691
0.51	0.99	2.24	0.25	3.8	1.23	83.65
0.2	0.89	2.59	0.47	5.86	1.27	85.207
0.58	0.89	3.57	0.23	4.49	1.38	238.803
0.41	0.98	3.42	0.19	5.14	1.32	155.719
0.24	0.97	2.67	0.37	4.83	1.21	83.82
0.16	0.96	3.46	0.43	3.15	1.33	84.895
0.43	0.95	2.96	0.1	5.24	1.48	464.6
0.54	0.89	3.01	0.07	5.57	1.4	296.589
0.19	0.97	2.52	0.58	3.06	1.29	82.707
0.56	0.96	2.44	0.37	5.87	1.33	183.592
0.46	0.87	2.04	0.58	3.45	1.2	86.156
0.6	0.98	3.3	0.02	4.09	1.43	375.471
0.23	0.88	2.26	0.53	4.85	1.24	83.403
0.49	0.98	1.98	0.08	4.85	1.21	82.261
0.25	0.88	3.27	0.55	3.5	1.27	84.221
0.57	0.88	3.5	0.33	5.34	1.34	181.489
0.11	0.97	1.97	0.21	5.0	1.43	84.738
0.29	0.91	3.2	0.59	3.09	1.31	144.307
0.56	0.91	2.76	0.25	5.4	1.48	347.279
0.31	0.95	3.14	0.34	5.96	1.31	106.103
0.41	0.91	3.08	0.52	4.64	1.34	120.091
0.23	0.88	2.22	0.16	4.59	1.41	270.518
0.12	0.94	2.67	0.07	3.56	1.36	85.125
0.16	0.86	1.84	0.39	3.79	1.46	284.408
0.49	0.94	1.94	0.42	5.93	1.27	83.765
0.46	0.97	2.76	0.09	4.46	1.23	82.797
0.42	0.97	2.82	0.45	5.55	1.44	341.064
0.31	0.89	2.06	0.34	3.73	1.31	150.258
0.15	0.94	3.29	0.19	5.79	1.28	84.06
0.2	0.98	3.01	0.27	5.55	1.32	83.818
0.18	0.86	1.91	0.56	3.41	1.38	149.894
0.6	0.96	1.8	0.39	3.61	1.44	389.641
0.57	0.95	3.3	0.05	5.3	1.46	335.833
0.59	0.85	1.92	0.4	3.56	1.32	153.613
0.3	0.87	2.89	0.4	4.61	1.25	83.66
0.46	0.86	2.8	0.25	4.75	1.47	477.08
0.5	0.89	3.52	0.05	4.48	1.35	177.705
0.51	0.93	3.59	0.3	3.44	1.24	94.2
0.56	0.89	3.25	0.16	5.65	1.34	191.285
0.38	0.97	2.35	0.19	5.07	1.33	226.477
0.16	0.98	2.49	0.29	3.66	1.33	85.046
0.19	0.85	2.62	0.32	4.55	1.37	147.612
0.56	0.94	1.81	0.32	4.99	1.49	399.264
0.61	0.94	2.27	0.35	5.84	1.4	213.069
0.2	0.89	2.34	0.25	3.54	1.37	138.736
0.45	0.94	2.3	0.59	3.82	1.4	253.524
0.59	0.96	1.92	0.53	5.76	1.33	88.983
0.35	0.86	2.42	0.52	3.53	1.3	100.495
0.28	0.9	3.13	0.37	5.83	1.48	405.49
0.54	0.88	2.35	0.56	3.96	1.21	134.173
0.43	0.88	1.95	0.26	4.37	1.28	96.933
0.43	0.92	2.26	0.32	5.31	1.26	84.501
0.2	0.94	3.22	0.39	4.89	1.47	278.353
0.35	0.91	1.83	0.39	5.42	1.29	153.245
0.17	0.88	2.62	0.55	4.08	1.26	85.496
0.64	0.92	2.14	0.19	5.12	1.46	410.761
0.2	0.95	2.93	0.4	3.86	1.41	273.859
0.21	0.93	1.83	0.2	3.69	1.29	81.453
0.43	0.88	3.14	0.53	3.13	1.22	89.03
0.18	0.97	1.8	0.39	5.43	1.37	136.669
0.42	0.95	3.51	0.29	5.13	1.26	83.407
0.17	0.97	2.01	0.03	5.06	1.34	151.689
0.1	0.89	2.24	0.53	3.9	1.37	85.934
0.57	0.94	3.09	0.33	5.12	1.46	371.159
0.16	0.9	3.32	0.45	4.24	1.45	268.412
0.26	0.93	3.57	0.31	5.99	1.47	377.01
0.34	0.98	2.02	0.21	3.28	1.43	216.091
0.48	0.98	2.52	0.07	3.93	1.34	190.03
0.53	0.86	2.08	0.44	4.5	1.27	82.571
0.64	0.99	2.9	0.31	4.7	1.28	95.185
0.1	0.97	2.95	0.03	3.21	1.44	85.115
0.16	0.94	3.3	0.02	5.63	1.26	84.117
0.42	0.93	3.28	0.25	4.85	1.49	372.259
0.33	0.86	1.97	0.36	3.65	1.34	183.433
0.24	0.93	3.24	0.06	3.12	1.29	83.936
0.32	0.92	2.79	0.37	5.81	1.47	406.532
0.13	0.98	3.35	0.11	3.95	1.27	85.783
0.51	0.86	2.52	0.36	3.97	1.39	258.109
0.31	0.93	2.41	0.33	5.57	1.36	186.871
0.23	0.99	2.0	0.15	4.8	1.27	82.45
0.59	0.86	3.37	0.41	4.25	1.39	244.612
0.64	0.97	2.08	0.15	3.05	1.43	267.872
0.37	0.89	1.96	0.26	4.44	1.32	179.492
0.55	0.85	3.1	0.05	3.23	1.25	92.438
0.24	0.96	2.3	0.14	3.72	1.3	138.863
0.2	0.86	3.03	0.26	3.85	1.34	141.633
0.36	0.99	3.45	0.38	3.58	1.21	84.348
0.31	0.85	2.72	0.42	4.34	1.4	204.496
0.19	0.99	2.99	0.26	5.58	1.2	84.615
0.39	0.85	3.07	0.35	3.56	1.22	85.671
0.3	0.9	3.44	0.03	3.47	1.28	82.429
0.21	0.92	2.05	0.08	5.78	1.36	173.595
0.33	0.97	3.53	0.58	4.85	1.21	82.678
0.59	0.89	2.77	0.39	4.85	1.4	328.502
0.34	0.99	2.73	0.44	5.57	1.26	82.226
0.59	0.93	2.77	0.42	3.75	1.29	159.698
0.59	0.93	2.38	0.59	4.9	1.44	405.418
0.33	0.91	3.01	0.42	3.69	1.31	93.518
0.16	0.92	3.05	0.22	3.32	1.24	85.211
0.53	0.95	3.49	0.36	5.68	1.28	93.426
0.52	0.88	3.38	0.19	3.27	1.2	95.52
0.37	0.99	1.88	0.32	4.4	1.49	392.736
0.44	0.91	2.5	0.37	4.88	1.47	346.259
0.55	0.92	2.64	0.35	3.67	1.39	199.647
