cell_id	speed	num_of_vehicles	distance
30644_4	19.29	6.268786190843201	7366.0
30644_3	19.23	6.3163061976824775	7281.0
30644_2	19.16	6.382994443633439	7195.0
30644_1	19.08	6.464107313230841	7110.0
30644_0	18.67	6.691178395585796	7024.0
30650_3	20.76	3.6922076789934337	10348.0
30650_4	20.72	3.728853125727175	10417.0
30650_5	20.7	3.7581141328845162	10486.0
30650_6	20.67	3.784827634597641	10555.0
30650_7	20.64	3.815927043210639	10624.0
30650_8	20.61	3.8548170269026603	10693.0
30650_9	20.57	3.899538175628392	10762.0
30650_0	20.81	3.016056291831012	10147.0
30650_1	20.82	2.8426210762684008	10204.0
30650_2	20.79	4.740429069008988	10258.0
30651_2	23.18	5.481239920764203	11449.0
30651_3	23.15	6.207541964288167	11537.0
30651_0	23.14	5.035007098576131	11284.0
30651_1	23.22	5.193066530470411	11366.0
37981_2	20.12	2.859510043812313	5903.0
37981_1	19.88	5.301712723104404	5796.0
37981_0	19.37	2.946781753806019	5742.0
30640_1	19.62	4.496898234147215	4888.0
30640_0	19.78	2.7026676363905677	4834.0
30640_9	19.57	3.5178587392878082	5463.0
30640_8	19.56	4.252641667777335	5382.0
30640_7	19.55	4.284211957449839	5300.0
30640_6	19.55	3.807136831002356	5228.0
30640_5	19.54	3.915524384088848	5154.0
30640_4	19.54	2.3828757666831306	5108.0
30640_3	19.55	4.433086479937524	5024.0
30640_2	19.56	2.6022118905191567	4974.0
30638_8	20.09	2.933484623679763	3824.0
30638_7	20.06	3.458694614668897	3752.0
30638_6	20.02	3.4850512399102676	3679.0
30638_5	19.98	3.8721552216861452	3600.0
30638_4	19.92	3.91708606740802	3520.0
30638_3	19.85	3.0631627375694164	3458.0
30638_2	19.78	2.8677668251319535	3402.0
30638_1	19.71	4.56183563553983	3312.0
30638_9	20.12	2.9157119591429757	3886.0
30638_0	19.6	2.690239609042226	3261.0
30581_9	23.65	3.4481223267834817	13078.0
30581_8	23.63	3.4730530877569836	13015.0
30649_7	20.49	3.4307049676557138	10099.0
30581_7	23.6	3.501124982102099	12952.0
30649_6	20.42	5.18300747179382	10029.0
30581_6	23.57	3.5311989537697195	12890.0
30649_5	20.27	6.938463227806718	9937.0
30649_4	20.01	4.912188289612685	9876.0
30649_3	19.8	5.117479680894199	9815.0
30649_2	19.57	5.551664850582451	9752.0
30649_1	19.34	5.435520278805945	9692.0
30581_1	23.44	4.653587951192117	12516.0
30581_0	23.44	4.65484079352713	12436.0
30581_5	23.54	3.5619461413848557	12827.0
30581_4	23.52	3.5918314840717596	12764.0
30581_3	23.49	3.6190860311777118	12702.0
30581_2	23.47	6.211260878083456	12595.0
30649_0	18.91	9.583619500343648	9590.0
30639_7	20.18	4.148861987588871	4666.0
30639_6	20.21	2.744828121166069	4621.0
30639_5	20.19	3.8626967982187543	4559.0
30639_4	20.15	5.214312125201829	4476.0
30639_3	20.1	6.411521186184517	4374.0
30639_2	20.08	6.435767984986736	4273.0
30639_1	20.14	5.8951003745564385	4178.0
30639_0	20.1	6.60975875876748	4071.0
30639_8	19.95	6.610590921268682	4733.0
30635_11	19.89	7.218704148287651	1425.0
30635_12	19.89	7.214826534724155	1535.0
30635_13	19.9	7.2113084788336455	1644.0
30635_14	19.9	7.208449681686887	1754.0
30635_10	19.89	7.22246438484605	1315.0
30635_15	19.9	7.2066258889924715	1863.0
38539_0	19.9	3.897677234687623	6669.0
38539_1	19.8	2.6541585345704832	6748.0
38539_2	19.67	2.5143476080757456	6801.0
38539_3	19.4	4.667136829095963	6850.0
38539_4	19.24	4.838800618279848	6936.0
30648_10	20.17	3.2830116001668945	9538.0
